,EstimatedCombinedRate,from_postcode,state,to_postcode_ taxrate
101,0.10375,71753,AR,72336
102,0.1075,71822,AR,72303
103,0.1075,60804,IL,60804
104,0.08625,71823,AR,71846
105,0.08625,94927,CA,95448
106,0.09625,71832,AR,71832
107,0.0925,71833,AR,72932
108,0.0925,92262,CA,95196
109,0.0925,80022,CO,80640
110,0.0925,61462,IL,62864
111,0.1025,71852,AR,72957
112,0.1025,90220,CA,90899
113,0.1025,60053,IL,60714
114,0.0825,72027,AR,72955
115,0.0825,90631,CA,96162
116,0.0825,80901,CO,80997
117,0.0825,60137,IL,62982
118,0.09125,72032,AR,72958
119,0.09125,94926,CA,94931
120,0.08125,72044,AR,72581
121,0.08125,94571,CA,95696
122,0.08375,72824,AR,72860
123,0.08375,94510,CA,95361
124,0.08375,80443,CO,80498
125,0.086,85001,AZ,85755
126,0.086,80030,CO,81602
127,0.063,85039,AZ,85376
128,0.096,85117,AZ,85638
129,0.072,85118,AZ,85739
130,0.092,85121,AZ,85318
131,0.092,80442,CO,80442
132,0.0855,85127,AZ,85142
133,0.102,85128,AZ,85131
134,0.112,85173,AZ,85618
135,0.112,80482,CO,80482
136,0.083,85201,AZ,85277
137,0.078,85224,AZ,85299
138,0.0805,85250,AZ,85670
139,0.088,85253,AZ,85395
140,0.0795,85256,AZ,85256
141,0.0795,81401,CO,81402
142,0.089,85268,AZ,85655
143,0.089,80427,CO,81631
144,0.089,30301,GA,31193
145,0.081,85280,AZ,85941
146,0.081,62206,IL,62234
147,0.061,85321,AZ,86556
148,0.0635,85324,AZ,86351
149,0.0635,6001,CT,6927
150,0.076,85325,AZ,85357
151,0.076,81001,CO,81019
152,0.076,62258,IL,62258
153,0.093,85326,AZ,85396
154,0.093,81611,CO,81612
155,0.06712,85333,AZ,85367
156,0.098,85337,AZ,85337
157,0.101,85346,AZ,85359
158,0.10712,85349,AZ,85349
159,0.09212000000000001,85356,AZ,85356
160,0.0835,85358,AZ,86443
161,0.0835,80021,CO,80021
162,0.0835,62040,IL,62208
163,0.08412,85364,AZ,85369
164,0.066,85530,AZ,85648
165,0.066,62001,IL,62282
166,0.091,85539,AZ,86338
167,0.087,85701,AZ,85756
168,0.087,80511,CO,80517
169,0.106,85725,AZ,85725
170,0.069,85931,AZ,86435
171,0.069,80429,CO,81656
172,0.08951,85942,AZ,86045
173,0.0885,86021,AZ,86021
174,0.0885,62071,IL,62205
175,0.109,86022,AZ,86052
176,0.099,86040,AZ,86040
177,0.0918,86312,AZ,86314
178,0.1035,86323,AZ,86323
179,0.0935,86324,AZ,86324
180,0.0985,86326,AZ,86340
181,0.104,86339,AZ,86339
182,0.104,81433,CO,81615
183,0.0585,86409,AZ,86446
184,0.0725,91319,CA,96157
185,0.0725,80111,CO,80166
186,0.0725,60061,IL,62999
187,0.07975,93210,CA,93888
188,0.08975,93234,CA,93631
189,0.08475,93654,CA,93662
190,0.08725,93657,CA,93657
191,0.07375,94512,CA,95625
192,0.07875,95313,CA,95585
193,0.08875,95418,CA,95482
194,0.08875,80424,CO,80424
195,0.0796,80001,CO,80007
196,0.0815,80020,CO,81650
197,0.0475,80024,CO,80603
198,0.04985,80025,CO,80533
199,0.08485,80026,CO,80026
200,0.08635,80027,CO,80027
201,0.0675,80046,CO,80155
202,0.0675,61018,IL,62899
203,0.039,80101,CO,81647
204,0.0375,80102,CO,80137
205,0.0325,80103,CO,80105
206,0.079,80104,CO,81416
207,0.0513,80106,CO,80977
208,0.0831,80123,CO,80299
209,0.068125,80124,CO,80124
210,0.0713,80133,CO,80133
211,0.08845,80301,CO,80314
212,0.045,80401,CO,80470
213,0.045,96701,HI,96898
214,0.029,80422,CO,81324
215,0.044,80423,CO,81655
216,0.06375,80435,CO,80435
217,0.0455,80436,CO,80452
218,0.0955,80438,CO,80438
219,0.049,80440,CO,81653
220,0.0905,80444,CO,80444
221,0.082,80446,CO,81621
222,0.042,80447,CO,80478
223,0.0755,80476,CO,80553
224,0.084,80477,CO,81658
225,0.059,80483,CO,81146
226,0.08515,80501,CO,80504
227,0.037,80512,CO,80545
228,0.074,80516,CO,81649
229,0.054,80530,CO,81632
230,0.067,80537,CO,80549
231,0.05985,80544,CO,80544
232,0.0685,80550,CO,80551
233,0.0685,62010,IL,62294
234,0.064,80620,CO,80620
235,0.0701,80631,CO,80639
236,0.0788,80817,CO,80817
237,0.0813,80819,CO,80819
238,0.0873,80829,CO,80829
239,0.0799,80863,CO,80866
240,0.094,81149,CO,81225
241,0.0865,81201,CO,81435
242,0.0565,81211,CO,81236
243,0.0765,81242,CO,81636
244,0.0735,81321,CO,81321
245,0.0735,62059,IL,62289
246,0.033,81323,CO,81335
247,0.0465,81403,CO,81431
248,0.0415,81426,CO,81430
249,0.0945,81427,CO,81427
250,0.0545,81432,CO,81432
251,0.0802,81501,CO,81506
252,0.0527,81503,CO,81646
253,0.0827,81521,CO,81521
254,0.0727,81526,CO,81526
255,0.0425,96704,HI,96785
256,0.0625,60111,IL,62996
257,0.071,62025,IL,62034
